City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Jamestown,US,36.72,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Severo-Kurilsk,RU,31.37,light snow,50.6789,156.125,Kak Doma
9,Ushuaia,AR,49.62,light rain,-54.8,-68.3,Albatros Hotel
10,Paamiut,GL,17.82,clear sky,61.994,-49.6678,Pistut
23,Serebryansk,KZ,18.95,overcast clouds,49.6925,83.2892,"Gostinitsa ""Vodoley"""
38,Klaksvik,FO,41.92,overcast clouds,62.2266,-6.589,Airbnb rooms
49,Preston,GB,48.33,overcast clouds,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resorts
50,Komsomolskiy,UZ,34.52,mist,40.4272,71.7189,Ikathouse
53,Garden City,US,39.88,mist,42.3256,-83.331,Quality Inn & Suites Banquet Center
57,Nanma,CN,25.66,clear sky,36.1817,118.1583,GreenTree Inn Zibo Wuyuan County Lushan Road Express Hotel
72,Torbay,CA,36.57,light intensity drizzle,47.6666,-52.7314,Gallows Cove
74,Fairbanks,US,26.56,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
78,Stranraer,GB,44.49,overcast clouds,54.9023,-5.0273,Thistle Inn
88,Ketchikan,US,21.18,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
92,Lebork,PL,23.92,clear sky,54.5392,17.7501,Vega
98,Skibbereen,IE,48.0,overcast clouds,51.55,-9.2667,The West Cork Hotel
101,Ludwigslust,DE,31.98,overcast clouds,53.3167,11.5,"Hotel & Restaurant ""Prinzenstube"" Hotel Erbprinz Ludwigslust"
103,Prince Rupert,CA,19.09,broken clouds,54.3161,-130.3201,Crest Hotel
116,Grindavik,IS,28.87,scattered clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
124,Makhachkala,RU,37.38,broken clouds,42.9764,47.5024,Argo
126,Qurayyat,SA,44.78,clear sky,31.3318,37.3428,Mozon Furnished Aprtments
130,Nichinan,JP,34.75,clear sky,31.6,131.3667,Guest House Aki
132,Saint Anthony,US,19.33,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
133,Campbeltown,GB,42.85,overcast clouds,55.4258,-5.6076,The Royal Hotel
135,Havoysund,NO,30.43,snow,70.9963,24.6622,Arctic View Glamping & Restaurant
136,Katsuura,JP,37.51,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
149,Olafsvik,IS,31.08,broken clouds,64.8945,-23.7142,Hotel Olafsvik
150,Mandali,IQ,49.69,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
155,Andenes,NO,21.18,few clouds,69.3143,16.1194,Hotell Marena
168,Lashio,MM,48.96,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
174,Melnikovo,RU,18.25,overcast clouds,56.5558,84.085,Шегарка
