City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Pevek,RU,69.7008,170.3133,-30.62,99,65,4.76,broken clouds
Jamestown,US,42.097,-79.2353,36.72,94,90,3.0,mist
Faya,SA,18.3851,42.4509,59.52,71,2,1.72,clear sky
Norman Wells,CA,65.282,-126.8329,-2.16,78,90,0.0,light snow
Saint-Philippe,RE,-21.3585,55.7679,74.79,83,89,8.63,overcast clouds
Khonsa,IN,27.0167,95.5667,49.42,73,74,3.11,broken clouds
Albany,US,42.6001,-73.9662,33.1,75,100,3.56,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,31.37,92,100,15.68,light snow
Ponazyrevo,RU,58.3578,46.3142,5.05,94,100,7.87,overcast clouds
Ushuaia,AR,-54.8,-68.3,49.62,71,75,23.02,light rain
Paamiut,GL,61.994,-49.6678,17.82,68,1,7.47,clear sky
Luderitz,NA,-26.6481,15.1594,64.89,88,14,7.81,few clouds
Barrow,US,71.2906,-156.7887,-11.18,70,1,11.5,clear sky
Hermanus,ZA,-34.4187,19.2345,63.9,82,51,11.77,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,75,23.02,thunderstorm
Khasan,RU,42.4308,130.6434,12.11,59,1,12.24,clear sky
Dikson,RU,73.5069,80.5464,-4.32,85,94,12.46,overcast clouds
Rikitea,PF,-23.1203,-134.9692,76.68,86,100,27.74,moderate rain
Chuy,UY,-33.6971,-53.4616,71.29,56,0,12.48,clear sky
Upernavik,GL,72.7868,-56.1549,-6.48,78,93,8.1,overcast clouds
Qaanaaq,GL,77.484,-69.3632,-4.59,55,41,7.96,scattered clouds
Sao Francisco,BR,-15.9486,-44.8644,71.42,95,91,8.77,overcast clouds
Makarov,RU,48.6333,142.8,4.59,76,23,11.18,few clouds
Serebryansk,KZ,49.6925,83.2892,18.95,91,96,3.49,overcast clouds
Bayan,CN,46.0833,127.4,-12.8,97,34,3.36,scattered clouds
Faanui,PF,-16.4833,-151.75,79.88,66,4,2.33,clear sky
Salinopolis,BR,-0.6136,-47.3561,80.74,80,16,9.44,few clouds
Puerto Ayora,EC,-0.7393,-90.3518,76.96,76,100,11.52,overcast clouds
Puerto Madryn,AR,-42.7692,-65.0385,86.95,22,1,19.57,clear sky
Lompoc,US,34.6391,-120.4579,53.91,84,90,3.44,mist
Lavrentiya,RU,65.5833,-171.0,-1.8,97,100,12.62,snow
Sao Filipe,CV,14.8961,-24.4956,76.35,62,2,12.01,clear sky
Cam Ranh,VN,11.9214,109.1591,75.16,88,40,16.11,scattered clouds
Margate,GB,51.3813,1.3862,51.96,93,74,1.99,broken clouds
Leningradskiy,RU,69.3833,178.4167,-29.42,98,60,4.21,broken clouds
Saint-Augustin,CA,51.226,-58.6502,35.4,78,100,18.37,overcast clouds
Bluff,NZ,-46.6,168.3333,55.8,58,78,15.79,broken clouds
Mongo,TD,12.1844,18.693,76.37,21,68,8.3,broken clouds
Klaksvik,FO,62.2266,-6.589,41.92,90,98,8.12,overcast clouds
Tura,IN,25.5198,90.2201,58.06,55,26,4.21,scattered clouds
Cape Town,ZA,-33.9258,18.4232,65.88,86,20,1.01,few clouds
Denpasar,ID,-8.65,115.2167,82.06,83,40,13.8,scattered clouds
Amahai,ID,-3.3333,128.9167,78.51,84,100,6.76,light rain
Kintinku,TZ,-5.8833,35.2333,76.57,68,84,3.94,broken clouds
Carlsbad,US,33.1581,-117.3506,59.47,64,75,3.0,broken clouds
Kaitangata,NZ,-46.2817,169.8464,55.92,78,100,4.68,overcast clouds
New Norfolk,AU,-42.7826,147.0587,57.76,77,56,2.91,broken clouds
Provideniya,RU,64.3833,-173.3,3.36,85,90,40.26,light snow
Lorengau,PG,-2.0226,147.2712,80.92,82,100,5.06,overcast clouds
Preston,GB,53.7667,-2.7167,48.33,93,100,1.01,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,34.52,86,75,4.61,mist
Okhotsk,RU,59.3833,143.3,-20.9,80,99,18.07,overcast clouds
Hilo,US,19.7297,-155.09,76.12,45,40,5.75,light rain
Garden City,US,42.3256,-83.331,39.88,97,90,3.44,mist
Butaritari,KI,3.0707,172.7902,81.72,78,96,10.65,overcast clouds
Nikolskoye,RU,59.7035,30.7861,8.49,100,87,3.22,overcast clouds
Turmalina,BR,-17.2856,-42.73,68.09,98,100,1.86,overcast clouds
Nanma,CN,36.1817,118.1583,25.66,38,3,3.94,clear sky
Karratha,AU,-20.7377,116.8463,92.77,29,100,16.24,light rain
Airai,TL,-8.9266,125.4092,59.29,91,100,2.28,overcast clouds
Phuket,TH,8.0,98.25,79.02,83,20,9.22,few clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,86,11,12.1,few clouds
Busselton,AU,-33.65,115.3333,73.04,52,6,10.36,light rain
Sokoni,TZ,-6.4333,39.55,80.46,75,90,5.86,overcast clouds
Hithadhoo,MV,-0.6,73.0833,81.01,76,87,9.13,overcast clouds
Bambanglipuro,ID,-7.95,110.2833,77.38,88,100,3.96,overcast clouds
Carnarvon,AU,-24.8667,113.6333,75.27,88,84,13.8,broken clouds
Yellowknife,CA,62.456,-114.3525,-24.59,76,75,8.05,broken clouds
Belyy Yar,RU,53.6039,91.3903,-4.11,84,20,2.24,mist
Lata,PT,40.1629,-8.3327,59.92,97,18,5.03,few clouds
Alofi,NU,-19.0595,-169.9187,82.29,69,75,9.22,light rain
Mataura,NZ,-46.1927,168.8643,55.47,89,100,2.66,overcast clouds
Torbay,CA,47.6666,-52.7314,36.57,96,90,17.27,light intensity drizzle
Port Alfred,ZA,-33.5906,26.891,66.09,88,100,13.47,light rain
Fairbanks,US,64.8378,-147.7164,26.56,66,1,12.66,clear sky
Karamursel,TR,40.6914,29.6157,58.08,70,100,7.31,overcast clouds
Georgetown,MY,5.4112,100.3354,80.53,81,20,0.0,few clouds
Vaini,TO,-21.2,-175.2,82.56,83,40,4.61,volcanic ash
Stranraer,GB,54.9023,-5.0273,44.49,78,100,7.0,overcast clouds
East London,ZA,-33.0153,27.9116,66.43,86,100,15.03,light rain
Aykhal,RU,66.0,111.5,-19.59,95,100,7.81,overcast clouds
Gao,ML,16.6362,1.637,68.31,16,40,11.79,scattered clouds
Chauk,MM,20.8833,94.8167,64.35,73,1,5.21,clear sky
Byron Bay,AU,-28.65,153.6167,69.19,85,100,19.66,light rain
Solenzo,BF,12.1833,-4.0833,80.44,14,100,7.58,overcast clouds
Mbuji-Mayi,CD,-6.15,23.6,67.78,97,100,3.13,overcast clouds
